"path_specification","n","p","dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
"primary_controlled",100,20,"n=100, p=20","independent","original","mean_entry_tau",100,0.996970269125406,0.0026723583364932,0.00026723583364932,0.996446486891453,0.997494051359358
"primary_controlled",100,20,"n=100, p=20","independent","original","mean_jaccard_s",100,0.998888888888889,0.0111111111111111,0.00111111111111111,0.996711111111111,1.00106666666667
"primary_controlled",100,20,"n=100, p=20","independent","original","mean_jaccard_2s",100,0.993333333333333,0.0190585477415285,0.00190585477415285,0.989597857975994,0.997068808690673
"primary_controlled",100,20,"n=100, p=20","independent","original","mean_support_f1",100,0.98769696969697,0.0477558836802228,0.00477558836802228,0.978336816495646,0.997057122898293
"primary_controlled",100,20,"n=100, p=20","independent","original","mean_rmse",100,1.68971215633222,0.271432180320484,0.0271432180320484,1.6365114489894,1.74291286367503
"primary_controlled",100,20,"n=100, p=20","independent","original","f1_lasso",100,0.988,0.0477366513151884,0.00477366513151884,0.978643616342223,0.997356383657777
"primary_controlled",100,20,"n=100, p=20","independent","original","f1_lar",100,0.988,0.0477366513151884,0.00477366513151884,0.978643616342223,0.997356383657777
"primary_controlled",100,20,"n=100, p=20","independent","original","f1_glmnet",100,0.987090909090909,0.0483672817035849,0.00483672817035849,0.977610921877006,0.996570896304812
"primary_controlled",100,20,"n=100, p=20","independent","original","rmse_lasso",100,1.56433363530486,0.272835533580644,0.0272835533580644,1.51085787072306,1.61780939988667
"primary_controlled",100,20,"n=100, p=20","independent","original","rmse_lar",100,1.56433363530486,0.272835533580644,0.0272835533580644,1.51085787072306,1.61780939988667
"primary_controlled",100,20,"n=100, p=20","independent","original","rmse_glmnet",100,1.94046919838693,0.335200252165786,0.0335200252165786,1.87476994896244,2.00616844781143
"primary_controlled",100,20,"n=100, p=20","independent","original","elapsed_seconds",100,0.0106999999999997,0.013872070625337,0.0013872070625337,0.00798107415743369,0.0134189258425658
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","mean_entry_tau",100,0.997854161736096,0.00244656508126399,0.000244656508126399,0.997374634980168,0.998333688492024
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","mean_jaccard_s",100,0.998888888888889,0.0111111111111111,0.00111111111111111,0.996711111111111,1.00106666666667
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","mean_jaccard_2s",100,0.996363636363636,0.0144656519136935,0.00144656519136935,0.993528368588552,0.99919890413872
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","mean_support_f1",100,0.96769696969697,0.0736199424679674,0.00736199424679674,0.953267460973248,0.982126478420691
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","mean_rmse",100,1.98275481243946,0.332389984267244,0.0332389984267244,1.91760637552308,2.04790324935584
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","f1_lasso",100,0.968,0.0736905898354941,0.00736905898354941,0.953556644392243,0.982443355607757
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","f1_lar",100,0.968,0.0736905898354941,0.00736905898354941,0.953556644392243,0.982443355607757
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","f1_glmnet",100,0.967090909090909,0.0738524078489471,0.00738524078489471,0.952615837152516,0.981565981029303
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","rmse_lasso",100,1.94685808233087,0.335349922962479,0.0335349922962479,1.88112949743023,2.01258666723152
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","rmse_lar",100,1.94685808233087,0.335349922962479,0.0335349922962479,1.88112949743023,2.01258666723152
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","rmse_glmnet",100,2.05454827265663,0.341187117097899,0.0341187117097899,1.98767559770544,2.12142094760782
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","elapsed_seconds",100,0.0233999999999998,0.0188679622641133,0.00188679622641133,0.0197018793962336,0.027098120603766
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","mean_entry_tau",100,0.997218039011623,0.00299083454868137,0.000299083454868137,0.996631835440081,0.997804242583164
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","mean_jaccard_s",100,0.996666666666667,0.0190496231108628,0.00190496231108628,0.992932940536938,1.0004003927964
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","mean_jaccard_2s",100,0.99,0.0261002491263077,0.00261002491263077,0.984884351171244,0.995115648828756
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","mean_support_f1",100,0.889878787878788,0.107997290148377,0.0107997290148377,0.868711319009706,0.91104625674787
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","mean_rmse",100,2.14255155505078,0.3350863410847,0.03350863410847,2.07687463219818,2.20822847790338
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","f1_lasso",100,0.89,0.107778298447144,0.0107778298447144,0.86887545350436,0.91112454649564
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","f1_lar",100,0.89,0.107778298447144,0.0107778298447144,0.86887545350436,0.91112454649564
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","f1_glmnet",100,0.889636363636364,0.109129316777308,0.0109129316777308,0.868247017548011,0.911025709724716
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","rmse_lasso",100,2.12162840356385,0.33293337362391,0.033293337362391,2.05637346233356,2.18688334479414
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","rmse_lar",100,2.12162840356385,0.33293337362391,0.033293337362391,2.05637346233356,2.18688334479414
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","rmse_glmnet",100,2.18439785802464,0.344898283393943,0.0344898283393943,2.11679779447943,2.25199792156985
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","elapsed_seconds",100,0.0627999999999996,0.0198519774859087,0.00198519774859087,0.0589090124127615,0.0666909875872377
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","mean_entry_tau",100,0.99542237317061,0.0045330369815619,0.00045330369815619,0.994533897922224,0.996310848418996
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","mean_jaccard_s",100,0.985873015873016,0.0391998866497174,0.00391998866497173,0.978189838089671,0.99355619365636
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","mean_jaccard_2s",100,0.990909090909091,0.0233934604276529,0.00233934604276529,0.986323972665271,0.995494209152911
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","mean_support_f1",100,0.757383838383838,0.153127138644417,0.0153127138644417,0.727370919209533,0.787396757558144
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","mean_rmse",100,2.41222479349587,0.370734400636308,0.0370734400636308,2.33956085097115,2.48488873602059
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","f1_lasso",100,0.758,0.156463440077253,0.0156463440077253,0.727333165744859,0.788666834255142
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","f1_lar",100,0.758,0.156463440077253,0.0156463440077253,0.727333165744859,0.788666834255142
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","f1_glmnet",100,0.756151515151515,0.1492698370875,0.01492698370875,0.726894627082365,0.785408403220665
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","rmse_lasso",100,2.40695924020432,0.370322498780053,0.0370322498780053,2.33437603044343,2.47954244996521
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","rmse_lar",100,2.40695924020432,0.370322498780053,0.0370322498780053,2.33437603044343,2.47954244996521
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","rmse_glmnet",100,2.42275590007897,0.372032081642261,0.0372032081642261,2.34983761207709,2.49567418808085
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","elapsed_seconds",100,0.1265,0.0302305952453624,0.00302305952453624,0.120574803331909,0.132425196668091
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","mean_entry_tau",100,0.996867745142065,0.00376575015093641,0.000376575015093641,0.996129658112482,0.997605832171649
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","mean_jaccard_s",100,0.994444444444444,0.0243381015063989,0.00243381015063989,0.98967417654919,0.999214712339699
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","mean_jaccard_2s",100,0.993434343434343,0.0221197235453552,0.00221197235453552,0.989098877619454,0.997769809249233
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","mean_support_f1",100,0.826848484848485,0.127836305226084,0.0127836305226084,0.801792569024173,0.851904400672797
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","mean_rmse",100,2.29449630579646,0.34223761359232,0.034223761359232,2.22741773353236,2.36157487806055
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","f1_lasso",100,0.828,0.127191893522259,0.0127191893522259,0.803070388869637,0.852929611130363
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","f1_lar",100,0.828,0.127191893522259,0.0127191893522259,0.803070388869637,0.852929611130363
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","f1_glmnet",100,0.824545454545455,0.129712287656487,0.0129712287656487,0.799121846164783,0.849969062926126
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","rmse_lasso",100,2.28322196385199,0.344609231305727,0.0344609231305727,2.21567855451607,2.35076537318792
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","rmse_lar",100,2.28322196385199,0.344609231305727,0.0344609231305727,2.21567855451607,2.35076537318792
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","rmse_glmnet",100,2.31704498968539,0.339163083720748,0.0339163083720748,2.25056902527612,2.38352095409466
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","elapsed_seconds",100,0.0695999999999989,0.0302487999595008,0.00302487999595008,0.0636712352079368,0.0755287647920611
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","mean_entry_tau",100,0.995343532979227,0.00861488652569396,0.000861488652569396,0.993655015220191,0.997032050738263
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","mean_jaccard_s",100,0.996666666666667,0.0190496231108628,0.00190496231108628,0.992932940536938,1.0004003927964
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","mean_jaccard_2s",100,0.992727272727273,0.0262414267761128,0.00262414267761128,0.987583953079155,0.997870592375391
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","mean_support_f1",100,0.922484848484849,0.105551869215642,0.0105551869215642,0.901796682118583,0.943173014851114
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","mean_rmse",100,1.74743840814662,0.321944996000791,0.0321944996000791,1.68433718893046,1.81053962736277
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","f1_lasso",100,0.922,0.105963591994056,0.0105963591994056,0.901231135969165,0.942768864030835
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","f1_lar",100,0.922,0.105963591994056,0.0105963591994056,0.901231135969165,0.942768864030835
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","f1_glmnet",100,0.923454545454546,0.105647997096135,0.0105647997096135,0.902747538023703,0.944161552885388
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","rmse_lasso",100,1.66207853849333,0.311267796578686,0.0311267796578686,1.60107005036391,1.72308702662275
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","rmse_lar",100,1.66207853849333,0.311267796578686,0.0311267796578686,1.60107005036391,1.72308702662275
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","rmse_glmnet",100,1.9181581474532,0.39687179709187,0.039687179709187,1.84037127522319,1.9959450196832
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","original","elapsed_seconds",100,0.0135999999999984,0.00797977240757869,0.000797977240757869,0.012035964608113,0.0151640353918839
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","mean_entry_tau",100,0.997011361050253,0.00539664771175796,0.000539664771175796,0.995953618098748,0.998069104001757
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","mean_jaccard_s",100,0.996666666666667,0.0190496231108628,0.00190496231108628,0.992932940536938,1.0004003927964
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","mean_jaccard_2s",100,0.988484848484849,0.031878250177898,0.0031878250177898,0.98223671144998,0.994732985519717
